2988005,"{14184248,2185229608,2185229604,14184249,2185229601,2185229602,2185229599,2185229597,2185229592,14184250,2185229598,2185229589,2185229583,2185229587,2185229582,14184251,2185229578,2185229573,2185229571,2185229569,2185229567,2185229566,2185229564,2185229559,2185229557,2185229553,2185229555,2185229550,14184253,2185229543,2185229536,14184254,2185229529,2185229534,2185229532,2185229531,2185229528,2185229527,2185229525,2185229524,2185229523,2185229521,2185229517,2185229516,2185229514,14184255,2185229512,2185229501,2185229499,2185229494,14184256,14184257,2185229472,2185229470,2185229465,2185229468,2185229466,2185229463,2185229423,14184258,2185229427,2185229415,2185229417,2185229438,2185229435,2185229384,2185229378,2185229372,2185229368,2185229420,2185229432,2185229447,2185229429,2185229409,2185229375,2185229363,2185229351,14184259,14184260,2185229314,14184261,2185229311,14184262,14184264,14184265,14184266,2185229295,2185229292,14184267,2185229285,14184268,14184269,14184270,14184271,2185229273,2185229261,14184273,14184274,2185229253,14184275,2185229251,14184276,2185229227,14184277,2185229225,2185229219,2185229222,2185229210,7794786620,2185229216,2185229214,14184278,2185229207,2185229202,2185229199,2185229196,1528620932,2185229191,2185229185,14184279,2185229178,14184281,2185229174,2185229167,2185229161,2185229158,2185229164,2185229172,2185229170,2185229180,2185229176,2185229169,2185229156,2185229150,2185229147,2185229142,2185229139,2185229130,2185229127,14184283,14184284,2185229120,2185229122,2185229125,14184285,14184286,14184287,2185229090,2185229088,2185229082,14184288,2185229080,2185229077,2185229074,2185229071,2185229069,14184289,2185229063,14184291,14184293,14184294,14184297,14184299,4071707789,14184301,14184302,14184303,14184306,14184307,14184308,14184309,14184310,14184311,14184312,14184314,2185229020,2185229021,14184315,2185229018,2185229025,2185229023,2185229007,2185229004,2185229011,2185229014,2185229016,2185229009,2185229006,2185229000,2185229002,2185228998,2185228992,2185228988,2185228985,2185228983,2185228980,14184317,14184318,14184319,14184320,2185228969,2185228965,2185228962,14184322,14184323,14184324,14184325,14184326,2185228956,2185228954,2185228953,2185228949,14184328,14184330,14184331,14184332,2185228936,14184333,14184336,2185228927,2185228925,1681895702,1681895700,1681895693,14184337,2185228920,1681895676,14184339,1681895671,2185228914,1681895664,1681895653,1681895649,2185228901,1681895625,14184345,2185228891,1681895600,1681895587,14189711}","{natural,coastline,source,OS_OpenData_StreetView}"
2988035,"{14184380,14184383,14184395,14184406,14184411,14184416,14184421,14184427,3246821538,14184433,14184435,14184439,14184449,14184455,14184473,14184478,14184483,3246806488,14184487,14184492,14184497,14184508,3056205696,3056205716,3056205729,14184538,14184540,14184546,14184555,14184556,14184564,14184568,14184574,14184577,14184580,14184589,14184591,14184604,14184609,14184614,14184624,14184641,14184684,14184696,14184714,14184723,14184765,14184802}","{natural,coastline,source,PGS}"
2988037,"{214167,198704}","{highway,residential,lit,yes,maxspeed,""30 mph"",maxspeed:type,GB:nsl_restricted,name,Parkside,surface,asphalt}"
2988038,"{198703,214184}","{highway,residential,lit,yes,maxspeed,""30 mph"",maxspeed:type,GB:nsl_restricted,name,""Willow Way"",surface,asphalt}"
2988039,"{198702,878467972,214141}","{highway,residential,lit,yes,loc_name,""St Pauls Way"",maxspeed,""30 mph"",maxspeed:type,GB:nsl_restricted,name,""St Paul's Way"",surface,asphalt}"
3390164,"{16737257,11506090804,16737261,16737262,16737263,16737264,16737265,16737254}","{bicycle,yes,foot,yes,highway,service,horse,yes,motorcar,no}"
2988061,"{213435,12139650347,564970523,2359462443,1540592207,1540592210,552784,242594495,213433,402400,12139650315,213432}","{alt_name,""The High"",cycleway:both,no,designation,primary,hgv,designated,highway,tertiary,lanes,2,lit,yes,maxspeed,""20 mph"",mcn,oxford,name,""High Street"",note,""Tagged highway=tertiary per local consensus. Please consult the OSM wiki page linked below and discuss on the community forum or talk-GB before changing highway tagging.

Wiki page:
https://wiki.openstreetmap.org/wiki/Roads_in_the_United_Kingdom"",operator,""Oxford County Council"",operator:catagory,""Class 1"",ref,A420,sidewalk,separate,source,""Oxford City Council/Oxfordshire County Council Transport publications;site surveys"",surface,asphalt}"
2988065,"{204630,204631}","{highway,residential,maxspeed,""30 mph"",maxspeed:type,GB:nsl_restricted,name,""Woodberry Way""}"
2988066,"{196077,149625299,2121723535,204630}","{highway,residential,maxspeed,""30 mph"",maxspeed:type,GB:nsl_restricted,name,""Woodberry Gardens""}"
2988067,"{196087,878467989,247545,147839448,147839795,878467994,878467993,247530,878468037,247531,247532,147840142,247533,4640237749,38455077,4987350702,147840250,247534,4847841754,2124186460,2124200642}","{highway,residential,maxspeed,""30 mph"",name,""Granville Road""}"
2988069,"{5146559883,5146559884,14185442,253237184,294003398,5146559877,5146559878,14185437,253237234,294003400,294003403,5146559879,361166447,3689098065,639118699,639118700,5146559881,5146559882,361167735,361166416,639118697,5146559883}","{highway,tertiary,junction,roundabout,lanes,2,maxspeed,50,name,""Applewood Roundabout"",surface,asphalt}"
2988070,"{5146559913,5146559914,14185454,296510739,253237373,5146559907,5146559908,14185446,296510735,253237374,5146559909,5146559910,254488422,296510731,253237369,5146559911,5146559912,14185448,253237370,296510745,5146559913}","{highway,tertiary,junction,roundabout,lanes,2,maxspeed,50,name,""Glen Ellan Roundabout"",surface,asphalt}"
2988082,"{213435,8888044174,339300174,529861991,213436,3814215515,9895595687}","{alt_name,""St Aldates"",bus,yes,cycleway:both,no,designation,primary,hgv,designated,highway,tertiary,lanes,2,lit,yes,maxspeed,""20 mph"",mcn,oxford,name,""St Aldate's"",note,""Tagged highway=tertiary per local consensus. Please consult the OSM wiki page linked below and discuss on the community forum or talk-GB before changing highway tagging.

Wiki page:
https://wiki.openstreetmap.org/wiki/Roads_in_the_United_Kingdom"",operator,""Oxfordshire County Council"",operator:catagory,class1,ref,A420,sidewalk,separate,source,""Bing;OSM gps point cloud;Oxford City Council/Oxfordshire County Council Transport publications;site surveys"",surface,asphalt,tourist_bus,no,tourist_bus:conditional,""no @ (10:00-18:00 AND occupants>8)""}"
2988083,"{16557385,9162224213,1110546434,603698,7918910072,448530556}","{alt_name,""Abingdon Road"",bicycle,designated,bridge,yes,cycleway:both,shared_lane,cycleway:both:lane,pictogram,foot,designated,highway,primary,lanes,2,layer,1,lit,yes,maxspeed,""20 mph"",maxweight:signed,no,mcn,oxford,motor_vehicle,designated,name,""Folly Bridge"",operator,""Oxfordshire County Council"",operator:catagory,""Class 1"",ref,A4144,surface,asphalt,wikidata,Q5464804}"
2988089,"{603696,603695,4151780742}","{boat,yes,loc_name,""The Isis"",motorboat,yes,name,""River Thames"",name:af,Teems,name:ar,""نهر التمز"",name:azb,""تیمز چایی"",name:be,Тэмза,name:be-tarask,Тэмза,name:br,""An Tavoez"",name:cy,Tafwys,name:da,Themsen,name:de,Themse,name:es,""Río Támesis"",name:fr,Tamise,name:grc,Τάμεσις,name:hy,Թեմզա,name:kk,Темза,name:nl,Theems,name:nn,Themsen,name:no,Themsen,name:pa,""ਥੇਮਜ਼ ਦਰਿਆ"",name:pt,""Rio Tâmisa"",name:ru,Темза,name:sr,Темза,name:sv,Themsen,name:uk,Темза,name:ur,""دریائے ٹیمز"",source:name:br,""ofis publik ar brezhoneg"",waterway,river}"
